year(TIME),Tot,Cci
2004,1231631,101.05803999999999
2005,6765630,100.2784237735849
2006,13603550,100.13927153846154
2007,25597192,99.90264134615384
2008,31666536,97.20262134615385
2009,30427433,97.54020865384615
2010,29386172,98.21460192307693
2011,27582850,97.69124622641509
2012,20118479,98.7889326923077
2013,16180759,99.13577884615384
2014,15485103,99.74220461538462
2015,15047377,100.79954423076923
2016,13367884,100.6862641509434
2017,16708647,101.28540192307692
2018,16693678,101.45909038461538
2019,13965305,101.23266153846154
2020,16227755,99.38857134615385
2021,16422990,98.94840788461539
2022,16750786,NA
